	annotater_id	table_id	hypothesis	label
0	GW0	T1769	ఈ చిత్రం 10 సంవత్సరాల క్రితం విడుదలైంది.	E
1	GW0	T1769	నైజెల్ గోడ్రిచ్ కేవలం ఒక ఆల్బమ్ను మాత్రమే రూపొందించాడు.	N
2	GW0	T1769	గ్రామంలో మగవారి సంఖ్య 40, ఆడవారి సంఖ్య 40.	C
3	GW1	T1769	రెండు సంవత్సరాలు పట్టే సమయానికి ఈ సినిమా విడుదలయ్యింది.	E
4	GW1	T1769	రెయిన్బోస్లో ఆర్ట్ రాక్ కంటే ఆర్ట్ పాప్ శైలిలో ఎక్కువగా ఉంటుంది.	N
5	GW1	T1769	రెయిన్బోస్ యొక్క రన్నింగ్ టైమ్ ఒక గంట కంటే ఎక్కువ ఉంటుంది.	C
6	GW2	T1769	హాలోవీన్కు కొన్ని వారాల ముందు ఇన్ రైన్బోస్ విడుదలైంది.	E
7	GW2	T1769	గ్రామంలో మగవారి సంఖ్య 10కి పైగా ఉంది.	N
8	GW2	T1769	60 రోజులలోపు వర్షపాతం నమోదైంది.	C
9	GW0	T1	గ్రామంలో మగవారి సంఖ్య 2, ఆడవారి సంఖ్య 2.	E
10	GW0	T1	2015 లో అత్యధిక వసూళ్లు సాధించిన చిత్రంగా బ్రూక్లిన్ నిలిచింది.	N
11	GW0	T1	బ్రూక్లిన్ బాక్స్ ఆఫీసు వద్ద 60 మిలియన్ డాలర్ల కంటే తక్కువ వసూలు చేసింది.	C
12	GW1	T1	బ్రూక్లిన్ బాక్స్ ఆఫీసు వద్ద దాని బడ్జెట్ కంటే 50 మిలియన్ల ఎక్కువ వసూళ్లు సాధించింది.	E
13	GW1	T1	ఫినోలా డ్వైర్ బ్రూక్లిన్ను నిర్మించడానికి అమాండా పోసీ కంటే ఎక్కువ కృషి చేసింది.	N
14	GW1	T1	గ్రామంలో మగవారి సంఖ్య 2, ఆడవారి సంఖ్య 2.	C
15	GW3	T1	బ్రూక్లిన్ ఒక ఆంగ్ల చిత్రం.	E
16	GW3	T1	బ్రూక్లిన్ కేవలం మూడు దేశాల్లో మాత్రమే విడుదల చేయబడింది.	N
17	GW3	T1	గ్రామంలో మగవారి సంఖ్య 120, ఆడవారి సంఖ్య 120.	C
18	GW5	T3	ముడి హజెల్ నట్స్ లో 5 గ్రాముల కంటే తక్కువ చక్కెర ఉంటుంది.	E
19	GW5	T3	చెడు చక్కెర కంటే చెడు నట్స్ లో మంచి పోషకాలు ఎక్కువగా ఉంటాయి.	N
20	GW5	T3	పచ్చి హాజెల్ గింజల్లో 5 గ్రాముల కంటే ఎక్కువ చక్కెర ఉంటుంది.	C
21	GW2	T3	400 గ్రాముల ఫైబర్లలో ఒక వ్యక్తికి ఒక రోజులో అవసరమైన జింక్ మొత్తం ఉంటుంది.	E
22	GW2	T3	ఉడికించినప్పుడు విటమిన్ సి తగ్గుతుంది.	N
23	GW2	T3	గోధుమల్లో కొవ్వు తక్కువగా ఉంటుంది.	C
24	GW4	T3	ఒక బ్యాగ్ లో 600 కేలరీలు ఉంటాయి.	E
25	GW4	T3	హాజెల్ నట్స్ లో కొవ్వు అధికంగా ఉంటుంది.	N
26	GW4	T3	హాజెల్నట్స్ యొక్క ఒక సంచి చాలా తీపిగా ఉంటుంది.	C
27	GW0	T5	చార్లెస్ ఫ్రాన్సిస్ జెంకిన్స్ ఒకటి కంటే ఎక్కువ పతకాలు గెలుచుకున్నాడు.	E
28	GW0	T5	చార్లెస్ ఫ్రాన్సిస్ జెంకిన్స్ తన జీవితంలో ఎక్కువ భాగం ఒహియోలో గడిపాడు.	N
29	GW0	T5	చార్లెస్ ఫ్రాన్సిస్ జెంకిన్స్ తన జీవితకాలంలో ఎప్పుడూ చలన చిత్రాన్ని చూడలేదు.	C
30	GW2	T5	చార్లెస్ ఫ్రాన్సిస్ జెంకిన్స్ 19వ శతాబ్దంలో జన్మించాడు.	E
31	GW2	T5	చార్లెస్ ఫ్రాన్సిస్ జెంకిన్స్ 21 సంవత్సరాల వయస్సు వరకు ఒహియోలో నివసించాడు.	N
32	GW2	T5	చార్లెస్ ఫ్రాన్సిస్ జెంకిన్స్ ఎన్నడూ పతకాలు సాధించలేదు.	C
