	annotater_id	table_id	hypothesis	label
0	GW0	T1769	""""" ""ഇൻ റെയിൻബോസ്"" ""പത്ത് വർഷങ്ങൾക്ക് മുൻപ് പുറത്തിറങ്ങിയതാണ്."""	E
1	GW0	T1769	നൈജൽ ഗോഡ്രിച്ച് ഒരു ആൽബം മാത്രമാണ് നിർമ്മിച്ചത്.	N
2	GW0	T1769	മഴവില്ലുകളുടെ നീളം 40 മിനിട്ടിൽ താഴെയാണ്.	C
3	GW1	T1769	മഴവില്ല് റെക്കോർഡ് ചെയ്യാൻ രണ്ട് വർഷമെടുത്തു.	E
4	GW1	T1769	റെയ്ൻബോസിൽ ആർട്ട് റോക്ക് ചെയ്യുന്നതിനേക്കാൾ കൂടുതൽ ആർട്ട് പോപ്പ് വിഭാഗത്തിൽ പെടുന്നു.	N
5	GW1	T1769	മഴവില്ല് ഓടുന്ന സമയം ഒരു മണിക്കൂറിലധികമാണ്.	C
6	GW2	T1769	ഹാലോവീനിന് ഏതാനും ആഴ്ചകൾക്ക് മുമ്പ് ഇൻ റെയിൻബോസ് പുറത്തിറങ്ങി.	E
7	GW2	T1769	മഴക്കാടുകളിൽ 10-ലേറെ തടാകങ്ങൾ ഉണ്ടായിരുന്നു.	N
8	GW2	T1769	60 ദിവസത്തിനുള്ളിൽ മഴവില്ല് രേഖപ്പെടുത്തപ്പെട്ടു.	C
9	GW0	T1	ബ്രൂക്ലിന് രണ്ട് മണിക്കൂറിൽ താഴെ ഓടാൻ സമയമുണ്ട്.	E
10	GW0	T1	2015-ലെ ഏറ്റവും കൂടുതൽ കളക്ഷൻ നേടിയ ചിത്രമായിരുന്നു ബ്രൂക്ലിൻ.	N
11	GW0	T1	ബോക്സോഫീസിൽ 60 ദശലക്ഷത്തിൽ താഴെയാണ് ബ്രൂക്ലിൻ നേടിയത്.	C
12	GW1	T1	ബ്രൂക്ലിൻ ബോക്സോഫീസിൽ അതിന്റെ ബജറ്റിനേക്കാൾ 50 മില്യൺ കൂടുതൽ നേടി.	E
13	GW1	T1	അമൻഡ പോസിയേക്കാൾ കൂടുതൽ ബ്രൂക്ലിൻ നിർമ്മിക്കാൻ ഫിനോള ഡ്വയർ ചെയ്തു.	N
14	GW1	T1	ബ്രൂക്ലിന് രണ്ട് മണിക്കൂറിൽ കൂടുതൽ സമയമുണ്ട്.	C
15	GW3	T1	ബ്രൂക്ലിൻ ഒരു ഇംഗ്ലീഷ് ചിത്രമായിരുന്നു.	E
16	GW3	T1	മൂന്ന് രാജ്യങ്ങളിൽ മാത്രമാണ് ബ്രൂക്ലിൻ പുറത്തിറങ്ങിയത്.	N
17	GW3	T1	120 മിനിറ്റാണ് ബ്രൂക്ലിന്റെ റൺ ടൈം.	C
18	GW5	T3	ഒരു സെർവിംഗിൽ 5 ഗ്രാമിൽ താഴെ പഞ്ചസാരയാണ് അസംസ്കൃത നട്സിൽ അടങ്ങിയിരിക്കുന്നത്.	E
19	GW5	T3	ചീത്ത പഞ്ചസാരയേക്കാൾ നല്ലതാണ് പപ്പായയിൽ അടങ്ങിയിരിക്കുന്നത്.	N
20	GW5	T3	ഒരു സെർവിംഗിൽ 5 ഗ്രാമിൽ കൂടുതൽ പഞ്ചസാര അടങ്ങിയിട്ടുണ്ട്.	C
21	GW2	T3	യു. എസ്. ഡി. എയുടെ കണക്കുകൾ പ്രകാരം 400 ഗ്രാം ഫൈബർട്ടിൽ ഒരു വ്യക്തിക്ക് ഒരു ദിവസം ആവശ്യമുള്ള എല്ലാ സിങ്ക് അടങ്ങിയിരിക്കുന്നു.	E
22	GW2	T3	ഉരുളക്കിഴങ്ങ് വേവിക്കുമ്പോൾ വിറ്റാമിൻ സി കുറയുന്നു.	N
23	GW2	T3	നെല്ലിക്കയിൽ കൊഴുപ്പ് കുറവാണ്.	C
24	GW4	T3	ഒരു ബാഗിൽ 600 കലോറിയിലധികം അടങ്ങിയിട്ടുണ്ട്.	E
