	annotater_id	table_id	hypothesis	label
0	GW0	T1769	ଦଶବର୍ଷ ପୂର୍ବେ 'ଇନ୍ ରେଇନବୋ' ମୁକ୍ତିଲାଭ କରିଥିଲା।	E
1	GW0	T1769	ନାଇଜେଲ ଗଡରିଚ୍ କେବଳ ଗୋଟିଏ ଆଲବମ୍ ପ୍ରସ୍ତୁତ କରିଛନ୍ତି।	N
2	GW0	T1769	ମେଘଧନୁର ଦୈର୍ଘ୍ୟ ୪୦ ମିନିଟରୁ କମ୍ ହୋଇଥାଏ।	C
3	GW1	T1769	ମେଘଧନୁରେ ରେକର୍ଡ କରିବାକୁ ଦୁଇ ବର୍ଷରୁ ଅଧିକ ସମୟ ଲାଗିଲା।	E
4	GW1	T1769	ରେଇନବୋର କଳା ପପ୍ ଶୈଳୀରେ ଅଧିକ ପଡିଯାଏ, କିନ୍ତୁ ରାକ୍ ଶୈଳୀରେ ଅଧିକ।	N
5	GW1	T1769	""""" ""ଇନ୍ ରେଇନବୋ"" ""ର ଦୌଡ଼ର ସମୟ ପାଖାପାଖି ଏକ ଘଣ୍ଟା।"""	C
6	GW2	T1769	""""" ""ଇନ୍ ରେଇନବୋସ୍"" ""ହାଲୋୱିନର କିଛି ସପ୍ତାହ ପୂର୍ବରୁ ରିଲିଜ ହୋଇଥିଲା।"""	E
7	GW2	T1769	ରେଇନବୋରେ ୧୦ରୁ ଅଧିକ ଟ୍ରାକ୍ ଥିଲା।	N
8	GW2	T1769	60 ଦିନରୁ କମ୍ ସମୟ ମଧ୍ୟରେ ରେଇନବୋ ରେକର୍ଡ କରାଯାଇଛି।	C
9	GW0	T1	ବ୍ରୁକଲିନରେ ଦୁଇ ଘଣ୍ଟା ମଧ୍ୟରେ ଦୌଡ଼ିବାର ସମୟ ଥାଏ।	E
10	GW0	T1	2015 ମସିହାର ସର୍ବାଧିକ ଆୟ କରିଥିବା ଚଳଚ୍ଚିତ୍ର ଥିଲା ବ୍ରୁକଲିନ୍।	N
11	GW0	T1	ବ୍ରୁକଲିନ୍ ବକ୍ସ ଅଫିସରେ ୬୦ ମିଲିୟନରୁ କମ୍ ଆୟ କରିଥିଲା।	C
12	GW1	T1	ବ୍ରୁକଲିନ୍ ବକ୍ସ ଅଫିସରେ ଏହାର ବଜେଟ୍ ଠାରୁ ପାଖାପାଖି ୫୦ ମିଲିୟନ୍ ଅଧିକ ଆୟ କରିଥିଲା।	E
13	GW1	T1	ଆମାଣ୍ଡା ପୋସେଙ୍କ ତୁଳନାରେ ଫିନୋଲା ଡ୍ୱିୟର ବ୍ରୁକଲିନ୍ ପାଇଁ ଅଧିକ ପରିଶ୍ରମ କରିଥିଲେ।	N
14	GW1	T1	ବ୍ରୁକଲିନର ଦୌଡ଼ରେ ଦୁଇ ଘଣ୍ଟା ଅଧିକ ସମୟ ଲାଗିଥାଏ।	C
15	GW3	T1	ବ୍ରୁକଲିନ୍ ଏକ ଇଂରାଜୀ ଫିଲ୍ମ ଥିଲା।	E
16	GW3	T1	ବ୍ରୁକଲିନ୍ କେବଳ ତିନୋଟି ଦେଶରେ ରିଲିଜ ହୋଇଥିଲା।	N
17	GW3	T1	ବ୍ରୁକଲିନର ରନ୍ ଟାଇମ୍ ୧୨୦ ମିନିଟ।	C
18	GW5	T3	କଞ୍ଚା ହେଜେଲ୍ରେ ପ୍ରତି ସର୍ଭ ପିଛା ୫ ଗ୍ରାମ୍ ଚିନି ରହିଥାଏ।	E
19	GW5	T3	ଖରାପ ଚିନି ତୁଳନାରେ କଞ୍ଚା ଲବଙ୍ଗରେ ଅଧିକ ମାତ୍ରାରେ ଭଲ ଗୁଣ ରହିଥାଏ।	N
20	GW5	T3	କଞ୍ଚା ହାଜେଲରେ ପ୍ରତି ସର୍ଭ ପିଛା ୫ ଗ୍ରାମ୍ ରୁ ଅଧିକ ଚିନି ରହିଥାଏ।	C
