	annotater_id	table_id	hypothesis	label
0	GW0	T1769	""""" ""ઇન રેઇનબોઝ"" ""દસ વર્ષ પહેલાં રિલીઝ થઈ હતી."""	E
1	GW0	T1769	નાઇજેલ ગોડ્રિચે માત્ર એક આલ્બમ બનાવ્યું છે.	N
2	GW0	T1769	રેઇનબો 40 મિનિટ કરતા પણ ઓછી લાંબી હોય છે.	C
3	GW1	T1769	""""" ""રેઇનબોમાં"" ""રેકોર્ડ કરવા માટે બે વર્ષથી વધુ સમય લાગ્યો."""	E
4	GW1	T1769	રેઇનબો કલા પોપ શૈલીમાં આવે છે, જે કલા રોક કરતા વધુ છે.	N
5	GW1	T1769	""""" ""ઇન રેઇનબોઝ"" ""નો સમય એક કલાકથી વધુ છે."""	C
6	GW2	T1769	""""" ""ઇન રેઇનબોઝ"" ""હેલોવીનના થોડા અઠવાડિયા પહેલા રિલીઝ થયું હતું."""	E
7	GW2	T1769	મેઘધનુષમાં 10થી વધુ ટ્રેક હતા.	N
8	GW2	T1769	60 દિવસથી ઓછા સમયમાં મેઘધનુષ્ય નોંધાયું હતું.	C
9	GW0	T1	બ્રુકલિન પાસે દોડવાનો સમય બે કલાક છે.	E
10	GW0	T1	બ્રુકલિન 2015ની સૌથી વધુ કમાણી કરનારી ફિલ્મ હતી.	N
11	GW0	T1	બ્રુકલિને બૉક્સ ઑફિસ પર 60 મિલિયન ડોલરથી પણ ઓછી કમાણી કરી હતી.	C
12	GW1	T1	બ્રુકલિને બોક્સ ઓફિસ પર તેના બજેટ કરતાં લગભગ 50 મિલિયન વધુ કમાણી કરી હતી.	E
13	GW1	T1	ફિનોલા ડ્વાયરે બ્રુકલિનનું નિર્માણ કરવા અમાન્ડા પોસેથી વધારે કામ કર્યું હતું.	N
14	GW1	T1	બ્રુકલિન પાસે દોડવાનો સમય બે કલાક કરતા વધારે છે.	C
15	GW3	T1	બ્રુકલિન એક અંગ્રેજી ફિલ્મ હતી.	E
16	GW3	T1	બ્રુકલિનને ફક્ત ત્રણ દેશોમાં રિલીઝ કરવામાં આવ્યું હતું.	N
17	GW3	T1	બ્રુકલિનનો રન ટાઇમ 120 મિનિટ છે.	C
18	GW5	T3	કાચા હેઝલનટ્સમાં 5 ગ્રામ કરતાં ઓછી ખાંડ હોય છે.	E
19	GW5	T3	કાચા કેળામાં ખરાબ ખાંડ કરતા વધુ સારી ખાંડ હોય છે.	N
20	GW5	T3	અખરોટમાં 5 ગ્રામ કરતા વધારે ખાંડ હોય છે.	C
21	GW2	T3	યુએસડીએ (USDA) ના જણાવ્યા અનુસાર 400 ગ્રામ ફાઈબરમાં વ્યક્તિને એક દિવસમાં જરૂરી જસત હોય છે.	E
22	GW2	T3	હેઝલનટ્સ જ્યારે શેકાય છે ત્યારે વિટામિન સી ગુમાવે છે.	N
23	GW2	T3	હેઝલનટ્સમાં ફેટ ઓછી હોય છે.	C
