	annotater_id	table_id	hypothesis	label
0	GW0	T1769	இது 10 ஆண்டுகளுக்கு முன்பு வெளியிடப்பட்டது.	E
1	GW0	T1769	நிகெல் கோட்ரிச் ஒரே ஒரு ஆல்பத்தை மட்டுமே தயாரித்துள்ளார்.	N
2	GW0	T1769	இது 40 நிமிடங்களுக்கும் குறைவான நீளம் கொண்டது.	C
3	GW1	T1769	இது இரண்டு ஆண்டுகளுக்கு மேலாக வானூர்திகளில் பதிவுசெய்யப்படுகிறது.	E
4	GW1	T1769	ரெயின்போ ஓவியத்தில், ராக் ஓவியத்தை விட ஓவிய பாப் ஓவியத்தில் அதிகமாக விழுகிறது.	N
5	GW1	T1769	மழைக்காலம் ஒரு மணி நேரத்திற்கும் மேலாக நீடிக்கிறது.	C
6	GW2	T1769	ஹாலோவீனுக்கு சில வாரங்களுக்கு முன்பு இன் ரெயின்போ வெளியானது.	E
7	GW2	T1769	இவற்றில் 10க்கும் மேற்பட்ட கோடுகள் காணப்படுகின்றன.	N
8	GW2	T1769	60 நாட்களுக்கும் குறைவான காலத்தில் வானவில்கள் பதிவு செய்யப்பட்டன.	C
9	GW0	T1	புரூக்லின் ஓட்ட நேரம் இரண்டு மணி நேரம் ஆகும்.	E
10	GW0	T1	2015 ஆம் ஆண்டில் அதிக வசூல் செய்த திரைப்படமாக புருக்லின் இருந்தது.	N
11	GW0	T1	புரூக்லின் பாக்ஸ் ஆபீஸில் 60 மில்லியனுக்கும் குறைவான டாலர்களையே சம்பாதித்தது.	C
12	GW1	T1	புருக்லின் பாக்ஸ் ஆபீஸில் அதன் பட்ஜெட்டைவிட 50 மில்லியன் அதிகம் சம்பாதித்தது.	E
13	GW1	T1	பினோலா டியர் புரூக்ளினை தயாரிக்க அமண்டா போஸியை விட அதிகத்தைச் செய்தார்.	N
14	GW1	T1	புரூக்லின் இரண்டு மணி நேரத்திற்கும் மேலாக ஓடுகிறது.	C
15	GW3	T1	புரூக்ளின் ஒரு ஆங்கில திரைப்படமாகும்.	E
16	GW3	T1	புரூக்ளின் மூன்று நாடுகளில் மட்டுமே வெளியிடப்பட்டது.	N
17	GW3	T1	இது 120 நிமிடங்களில் முடிவடைகிறது.	C
18	GW5	T3	கேழ்வரகில் 5 கிராம் சர்க்கரைக்கும் குறைவான அளவு உள்ளது.	E
19	GW5	T3	கேழ்வரகில் கெட்ட சர்க்கரைகளைவிட நல்லது அதிகம் உள்ளது.	N
20	GW5	T3	ஒரு சேவையில் 5 கிராமுக்கும் அதிகமான சர்க்கரை உள்ளது.	C
21	GW2	T3	400 கிராம் ஃபைல்பெர்ட்டுகளில் ஒரு நபருக்கு ஒரு நாளில் தேவைப்படும் அனைத்து துத்தநாகங்களும் அடங்கியுள்ளன என்று USDA கூறுகிறது.	E
22	GW2	T3	வேர்க்கடலையில் வைட்டமின் சி குறைந்து விடுகிறது.	N
23	GW2	T3	நெல்லிக்காயில் கொழுப்பு குறைவாக உள்ளது.	C
24	GW4	T3	ஒரு மூட்டையில் 600 கலோரிகள் உள்ளன.	E
25	GW4	T3	ஹேசல் நட்ஸில் அதிகளவு கொழுப்பு உள்ளது.	N
26	GW4	T3	ஒரு மூட்டை ஹேசல்நட்ஸ் மிகவும் இனிமையானதாக அறியப்படுகிறது.	C
27	GW0	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் ஒன்றுக்கும் மேற்பட்ட பதக்கங்களை வென்றுள்ளார்.	E
28	GW0	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் தனது வாழ்நாளின் பெரும்பகுதியை ஓகியோவில் கழித்தார்.	N
29	GW0	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் தனது வாழ்நாளில் ஒரு திரைப்படத்தையும் பார்த்ததில்லை.	C
30	GW2	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் 19-ம் நூற்றாண்டில் பிறந்தார்.	E
31	GW2	T5	சார்லஸ் பிரான்சிஸ் ஜென்கின்ஸ் 21 வயது வரை ஓகியோவில் வசித்தார்.	N
